RemainingLow,RemainingHigh,StopNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7,7,2,0.107618404,0.581481687,0.251939381,0.03636757,0.022592958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,3,0.3231131,0.287687694,0.285304125,0.095079096,0.008815985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,4,0.032161266,0.599363677,0.339112381,0.019821497,0,0.009541178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,1,0.139590762,0.455855211,0.215996064,0.121925503,0.0417975,0.024121129,0.00071383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,2,0.224379079,0.30285391,0.302967819,0.100248396,0.020062597,0.044502048,0.004986152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,3,0.25289536,0.444146293,0.228531736,0.028617826,0.045808786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,4,0.157744129,0.440701373,0.111640914,0.001931403,0.156984043,0.130998138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,1,0.28404038,0.382594078,0.147907724,0.116003763,0.034413513,0.025286976,0.007456945,0.00229662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,2,0.127642943,0.378023439,0.331879717,0.082332477,0.074636419,0,0.005485005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,3,0.139613685,0.362308802,0.422662878,0.062999624,0.005743277,0,0.006671734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,4,0.117333856,0.545431159,0.214815118,0.03653411,0.023793949,0.038164978,0.023926831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,1,0.275144737,0.338452019,0.203648322,0.10563635,0.054787921,0.01095858,0.01137207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,2,0.128493231,0.497187456,0.207083315,0.037964279,0.116345611,0.003693236,0.009232873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,3,0.118046777,0.280413182,0.249297378,0.231558804,0.116406739,0.00427712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,4,0.152917608,0.587667796,0.161652057,0.043488843,0.054273695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,1,0.311710766,0.302632436,0.126249034,0.125200269,0.104839678,0.022878082,0.00078258,0.003858009,0,0,0.001849147,0,0,0,0,0,0,0,0,0,0,0
11,11,2,0.229308443,0.305287092,0.257534953,0.081424482,0.064982109,0.052306958,0,0.004388093,0.003163408,0.001604461,0,0,0,0,0,0,0,0,0,0,0,0
11,11,3,0.208649591,0.444310679,0.182819201,0.09248838,0.021228242,0.026157768,0,0,0,0.024346139,0,0,0,0,0,0,0,0,0,0,0,0
11,11,4,0.266066815,0.343754051,0.284530246,0.082348627,0.002740689,0,0,0,0.020559571,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,1,0.28995916,0.290078043,0.211424791,0.076363295,0.066351212,0.052280356,0.00379001,0.008429866,0.001323266,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,2,0.145756126,0.452791161,0.20080642,0.051194609,0.094344223,0.011249914,0.00941677,0,0.00234914,0.032091636,0,0,0,0,0,0,0,0,0,0,0,0
12,12,3,0.054946282,0.556183733,0.275115665,0.045822891,0.00810036,0,0,0,0.05983107,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,4,0.008250521,0.514094144,0.18189044,0.168656524,0.081318941,0,0,0.022903154,0.022886276,0,0,0,0,0,0,0,0,0,0,0,0,0
