"Purpose","Duration","DurationLo","DurationHi","Outbound","Inbound","Percent"
5,"8to12",8,12,4,1,0.012409
5,"8to12",8,12,4,2,0.005437
5,"8to12",8,12,4,3,0.013396
5,"8to12",8,12,4,4,0.007615
6,"0to2",0,2,0,0,0.837765
6,"0to2",0,2,0,1,0.067663
6,"0to2",0,2,0,2,0.007778
6,"0to2",0,2,0,3,0.002903
6,"0to2",0,2,0,4,0.000411
6,"0to2",0,2,1,0,0.055494
6,"0to2",0,2,1,1,0.01129
6,"0to2",0,2,1,2,0.003145
6,"0to2",0,2,2,0,0.010763
6,"0to2",0,2,2,1,0.000444
6,"0to2",0,2,2,2,0.000603
6,"0to2",0,2,2,4,0.000023
6,"0to2",0,2,3,0,0.001043
6,"0to2",0,2,3,1,0.000365
6,"0to2",0,2,4,0,0.00031
6,"12to24",12,24,0,0,0.406297
6,"12to24",12,24,0,1,0.103339
6,"12to24",12,24,0,2,0.054287
6,"12to24",12,24,0,3,0.015717
6,"12to24",12,24,0,4,0.014476
6,"12to24",12,24,1,0,0.026027
6,"12to24",12,24,1,1,0.048701
6,"12to24",12,24,1,2,0.022506
6,"12to24",12,24,1,3,0.027693
6,"12to24",12,24,1,4,0.012256
6,"12to24",12,24,2,0,0.081792
6,"12to24",12,24,2,1,0.035867
6,"12to24",12,24,2,2,0.010537
6,"12to24",12,24,3,0,0.029236
6,"12to24",12,24,3,1,0.014281
6,"12to24",12,24,3,2,0.000286
6,"12to24",12,24,3,3,0.05035
6,"12to24",12,24,3,4,0.001015
6,"12to24",12,24,4,0,0.015639
6,"12to24",12,24,4,1,0.017819
6,"12to24",12,24,4,2,0.011879
6,"2to4",2,4,0,0,0.672855
6,"2to4",2,4,0,1,0.127106
6,"2to4",2,4,0,2,0.022745
6,"2to4",2,4,0,3,0.011774
6,"2to4",2,4,0,4,0.003751
6,"2to4",2,4,1,0,0.081598
6,"2to4",2,4,1,1,0.02684
6,"2to4",2,4,1,2,0.007924
6,"2to4",2,4,1,3,0.000864
6,"2to4",2,4,1,4,0.001258
6,"2to4",2,4,2,0,0.024991
6,"2to4",2,4,2,1,0.004061
6,"2to4",2,4,2,2,0.001361
6,"2to4",2,4,2,3,0.000278
6,"2to4",2,4,2,4,0.000712
6,"2to4",2,4,3,0,0.008332
6,"2to4",2,4,3,1,0.001042
6,"2to4",2,4,3,2,0.000297
6,"2to4",2,4,4,0,0.001447
6,"2to4",2,4,4,1,0.000274
6,"2to4",2,4,4,2,0.000388
6,"2to4",2,4,4,3,0.000102
6,"4to8",4,8,0,0,0.508485
6,"4to8",4,8,0,1,0.137516
6,"4to8",4,8,0,2,0.045169
6,"4to8",4,8,0,3,0.008847
6,"4to8",4,8,0,4,0.012155
6,"4to8",4,8,1,0,0.095893
6,"4to8",4,8,1,1,0.056816
6,"4to8",4,8,1,2,0.010646
6,"4to8",4,8,1,3,0.008326
6,"4to8",4,8,1,4,0.002083
6,"4to8",4,8,2,0,0.033111
6,"4to8",4,8,2,1,0.016801
6,"4to8",4,8,2,2,0.013961
6,"4to8",4,8,2,3,0.007175
6,"4to8",4,8,2,4,0.00142
6,"4to8",4,8,3,0,0.009513
6,"4to8",4,8,3,1,0.006192
6,"4to8",4,8,3,2,0.00537
6,"4to8",4,8,3,3,0.00095
6,"4to8",4,8,3,4,0.001439
6,"4to8",4,8,4,0,0.011205
6,"4to8",4,8,4,1,0.00203
6,"4to8",4,8,4,2,0.004196
6,"4to8",4,8,4,3,0.000194
6,"4to8",4,8,4,4,0.000507
6,"8to12",8,12,0,0,0.365188
6,"8to12",8,12,0,1,0.143175
6,"8to12",8,12,0,2,0.062735
6,"8to12",8,12,0,3,0.022585
6,"8to12",8,12,0,4,0.013512
6,"8to12",8,12,1,0,0.126679
6,"8to12",8,12,1,1,0.048031
6,"8to12",8,12,1,2,0.028483
6,"8to12",8,12,1,3,0.007242
6,"8to12",8,12,1,4,0.001812
6,"8to12",8,12,2,0,0.050905
6,"8to12",8,12,2,1,0.035415
6,"8to12",8,12,2,2,0.005951
6,"8to12",8,12,2,3,0.010784
6,"8to12",8,12,2,4,0.01482
6,"8to12",8,12,3,0,0.009006
6,"8to12",8,12,3,1,0.005521
6,"8to12",8,12,3,2,0.000854
6,"8to12",8,12,3,3,0.001993
6,"8to12",8,12,4,0,0.028104
6,"8to12",8,12,4,1,0.015714
6,"8to12",8,12,4,2,0.001163
6,"8to12",8,12,4,3,0.00022
6,"8to12",8,12,4,4,0.000108
