TAZ,Work_0,Work_1,Work_2,Work_3,Work_4,University,School,Escort,Maintenance,Discretionary,AtWork
1825,1.8642,1.47938,1.67753,1.35511,-0.16245,0.63488,0,0,0,0,0
1826,1.09303,0.83451,1.13058,0.7568,-0.59638,0.18023,0,0,0,0,0
1827,1.24617,1.00575,1.48716,1.04678,-0.49036,1.08832,0,0,0,0,0
1828,1.37806,1.03608,1.13729,0.98317,-0.35237,0.43213,0,0,0,0,0
1829,1.64019,1.07562,1.65031,1.10702,-0.35448,1.22309,0,0,0,0,0
1830,1.44811,0.9481,1.32433,0.67634,-0.47738,0.35162,0.17326,0,0,0,0
1831,1.33673,0.80806,1.31018,0.70308,-0.68215,0.49665,0,0,0,0,0
1832,1.27063,1.08547,1.11159,1.1917,-0.01565,0,0,0,0,0,0
1833,1.13462,0.80896,1.25262,0.70246,-0.78772,0.46668,0.38929,0,0,0,0
1834,1.84909,1.23834,1.56115,1.1956,-0.38441,0.72201,0.34054,0,0,0,0
1835,1.49805,1.20543,1.44011,0.96206,-0.24276,0.35452,0,0,0,0,0
1836,1.15214,0.96298,1.51235,0.8793,-0.38121,0.87338,0,0,0,0,0
1837,1.48833,1.18548,1.3399,0.9007,-0.29842,0.77499,0.10818,0,0,0,0
1838,1.36684,1.12114,1.33251,0.97653,-0.66605,0.41579,0,0,0,0,0
1839,1.66482,0.91741,1.56745,0.84449,-0.36937,0.61736,0.07115,0,0,0,0
1840,0,0,0,0,0,0,0,0,0,0,0
1841,1.72279,1.35119,1.66374,1.24484,-0.11763,0.94845,0,0,0,0,0
1842,1.24176,1.08856,1.56019,1.16746,-0.34294,0.27492,0,0,0,0,0
1843,1.38219,0.8309,1.44746,0.97143,-0.3617,-0.22923,0.21299,0,0,0,0
1844,1.31473,1.2029,1.44519,0.95549,-0.30882,0.86806,0.91814,0,0,0,0
1845,1.4056,1.07614,1.40094,0.98642,-0.34108,0.54636,0.50266,0,0,0,0
1846,0.98046,0.90582,1.14308,0.73321,-0.70383,0.54363,0.52964,0,0,0,0
1847,1.8065,1.37689,1.69411,1.08411,-0.34699,1.0918,0.63986,0,0,0,0
1848,1.21452,1.08562,1.33061,0.80008,-0.51075,1.04152,0,0,0,0,0
1849,1.15575,0.92334,1.17622,0.66017,-0.81369,0.45135,0.09302,0,0,0,0
1850,1.70233,1.26651,1.63197,1.2483,0.02265,0.72847,0,0,0,0,0
1851,1.15649,1.04543,1.45906,0.87695,-0.44271,0.37212,0,0,0,0,0
1852,1.33776,1.1182,1.43368,0.79186,-0.63599,0.62791,0,0,0,0,0
1853,1.43666,1.08796,1.80555,1.11968,-0.01996,0,0,0,0,0,0
1854,1.13159,0.82155,1.3665,0.83401,-0.4892,0.28199,-0.45609,0,0,0,0
1855,1.23942,0.853,1.19007,0.68164,-0.77302,0.37924,0.15676,0,0,0,0
1856,1.41427,1.16243,1.30955,0.6034,-0.63056,0.55938,0.10958,0,0,0,0
1857,1.13433,0.92454,1.17129,0.72399,-0.61033,0.54957,0,0,0,0,0
1858,1.63437,1.49935,1.66256,1.15248,-0.22158,1.00608,0,0,0,0,0
1859,1.32364,1.14044,1.48985,1.14609,-0.28878,0.6221,0,0,0,0,0
1860,1.17143,0.94542,1.32655,0.80106,-0.67051,0.52574,0.45371,0,0,0,0
1861,1.00292,1.02699,1.26063,0.8461,-0.50991,-1.1982,0.3426,0,0,0,0
1862,1.31674,1.08909,1.42673,1.01023,-0.38524,0.68351,0.23081,0,0,0,0
1863,1.59081,1.23764,1.4461,0.96871,-0.41674,0.85378,0.4338,0,0,0,0
1864,1.75925,1.38359,1.53933,1.17528,-0.48619,1.09714,0,0,0,0,0
1865,1.21681,1.18035,1.35857,0.8973,-0.59499,0.57742,0,0,0,0,0
1866,1.58834,0.96823,1.39734,0.96988,-0.71919,0.46559,-0.0469,0,0,0,0
1867,1.50071,1.11256,1.23114,0.95776,-0.62561,0.47494,0,0,0,0,0
1868,1.30498,1.03028,1.35095,0.8202,-0.58531,0.15971,-1.7842E-3,0,0,0,0
1869,1.59407,1.60082,0.51914,0.47458,-0.37321,0,0,0,0,0,0
1870,1.00239,0.94844,1.22314,0.70752,-0.72359,0.40654,0,0,0,0,0
1871,1.39348,1.22132,1.47529,1.11543,-0.34117,0.6903,0.55933,0,0,0,0
1872,1.4267,1.21917,1.53996,1.00027,-0.45045,0.31143,0.68992,0,0,0,0
1873,1.35274,1.14303,1.36392,1.06485,-0.41718,1.25068,0,0,0,0,0
1874,0.92075,0.90912,1.13797,0.74632,-0.66849,0,0,0,0,0,0
1875,1.7946,1.13768,1.53326,1.15388,-0.53395,0.74185,0.22217,0,0,0,0
1876,1.69342,1.54017,1.829,1.32893,-0.51761,0,0,0,0,0,0
1877,1.61252,1.11345,1.4217,0.8075,-0.53367,0.68581,0.03437,0,0,0,0
1878,1.59286,1.14283,1.41918,0.95037,-0.59027,0.58309,0.29597,0,0,0,0
1879,1.42504,1.29771,1.4627,0.94577,-0.52637,0,0,0,0,0,0
1880,1.04445,0.89488,1.07997,0.56942,-0.8447,0.83371,0,0,0,0,0
1881,1.44141,1.28586,1.59568,1.0885,-0.31219,0.90916,0,0,0,0,0
1882,1.93028,1.51868,1.76034,1.37377,0.01512,1.65353,0,0,0,0,0
1883,1.49369,1.25512,1.50944,1.0675,-0.44273,1.03664,0,0,0,0,0
1884,1.41002,1.14335,1.41812,0.86819,-0.48065,1.00734,0.81416,0,0,0,0
1885,1.44641,1.18601,1.35201,0.81305,-0.56408,1.00497,0.4571,0,0,0,0
1886,1.68306,1.15562,1.33166,0.78684,-0.71378,0.65623,-0.23525,0,0,0,0
1887,1.50524,1.1739,1.53414,0.94078,-0.51984,1.10699,0,0,0,0,0
1888,1.62414,1.1345,1.34158,0.84642,-0.39395,0.99116,0,0,0,0,0
1889,1.57052,1.24518,1.47342,1.0829,-0.28879,0,0,0,0,0,0
1890,1.81456,1.09655,1.68768,1.17625,-0.173,1.73642,0,0,0,0,0
1891,1.45978,1.07449,1.29483,0.80799,-0.62761,1.17348,0,0,0,0,0
1892,1.91573,1.20165,1.42374,0.83543,-0.646,1.32172,0,0,0,0,0
1893,1.45493,1.18819,1.42171,0.75321,-0.54986,0.93098,0.44726,0,0,0,0
1894,1.35596,1.13651,1.3267,0.76078,-0.68401,0.70374,0.13717,0,0,0,0
1895,1.60928,1.14582,1.45047,0.76389,-0.55548,1.96418,0,0,0,0,0
1896,1.49799,1.10083,1.44503,0.91201,-0.37648,1.23781,0,0,0,0,0
1897,1.33174,1.03748,1.29392,0.6701,-0.46341,1.09392,0,0,0,0,0
1898,1.58153,1.04657,1.39973,0.96312,-0.62978,0,0,0,0,0,0
1899,1.38826,1.04129,1.37466,0.93565,-0.60493,1.00005,0.38037,0,0,0,0
1900,1.55472,0.96544,1.30162,0.83179,-0.37637,1.0557,0,0,0,0,0
1901,1.49807,0.94426,1.24695,0.43789,-0.61309,1.05854,0,0,0,0,0
1902,1.55326,1.05079,1.09501,0.75928,-0.56926,1.01082,0,0,0,0,0
1903,1.62079,1.29463,1.53667,1.1187,-0.09217,1.20931,0,0,0,0,0
1904,1.64299,1.42677,1.62161,1.0293,-0.35293,1.67634,0,0,0,0,0
1905,1.65236,1.10737,1.54304,1.07134,-0.36444,1.09731,0.15847,0,0,0,0
1906,1.36207,1.18198,1.27084,0.92516,-0.50827,1.04766,0,0,0,0,0
1907,1.802,1.3393,1.45122,0.98231,-0.427,0.75412,0,0,0,0,0
1908,1.69681,1.11985,1.32005,0.62279,-0.49139,1.38579,0,0,0,0,0
1909,1.76607,1.23928,1.61001,0.59245,-0.48613,0,0,0,0,0,0
1910,1.30311,1.08047,1.34688,0.7097,-0.46505,0.8372,-0.3274,0,0,0,0
1911,1.51702,0.71022,1.29964,1.03615,-0.27587,0,0,0,0,0,0
1912,1.68019,1.1075,1.34543,0.77371,-0.46544,1.27884,0,0,0,0,0
1913,1.35309,1.08002,1.25957,0.75458,-0.56164,1.29071,0.26703,0,0,0,0
1914,1.59017,1.19042,1.47531,0.67421,-0.3195,0,0,0,0,0,0
1915,1.78116,1.42872,1.71358,1.20091,-0.17741,0,0,0,0,0,0
1916,1.68853,1.2346,1.38822,0.88487,-0.35302,1.49243,0.64389,0,0,0,0
1917,1.71526,0.91478,1.42256,0.97783,-0.18638,0,0,0,0,0,0
1918,1.58553,1.12449,1.91601,1.31705,-0.46872,1.47474,0,0,0,0,0
1919,1.40606,0.89173,1.15461,0.63332,-0.63142,0.60496,0,0,0,0,0
1920,1.76148,0.98125,1.46263,0.75122,-0.40719,1.16659,0.43681,0,0,0,0
1921,1.47349,1.01562,1.42661,0.98229,-0.39826,1.44241,0,0,0,0,0
1922,1.59425,1.10645,1.53565,0.81591,-0.44668,1.00516,0.3851,0,0,0,0
1923,1.90455,1.10156,1.45633,1.01437,-0.33656,0.50565,0,0,0,0,0
1924,1.67226,0.86951,1.31083,0.60898,-0.71947,0.90309,0.55254,0,0,0,0
1925,1.62343,0.96845,1.19292,0.66666,-0.55266,1.09825,0.75812,0,0,0,0
1926,1.63149,1.07416,1.6165,0.86452,-0.16862,0,0,0,0,0,0
1927,1.79438,1.25212,1.35902,0.82008,-0.35994,1.57065,0.61221,0,0,0,0
1928,1.58252,0.80617,1.50609,0.64921,-0.65713,1.22974,0,0,0,0,0
1929,1.81263,1.20615,1.34326,0.82198,-0.46735,0.61807,0,0,0,0,0
1930,1.99449,1.16909,1.4981,0.99881,-0.32349,1.48297,0.85939,0,0,0,0
1931,1.58215,0.95674,1.24866,0.58304,-0.47289,1.3907,0.37818,0,0,0,0
1932,1.56465,1.16562,1.39267,0.81723,-0.27804,1.56919,0,0,0,0,0
1933,1.54046,1.04904,1.44902,0.65437,-0.44238,1.58378,0,0,0,0,0
1934,1.81537,1.02074,1.23515,0.66736,-0.21112,0,0,0,0,0,0
1935,1.88119,1.20588,1.42636,0.99802,-0.54853,0,0,0,0,0,0
1936,1.85688,0.87925,1.29615,0.59515,-0.63988,1.20437,0.45803,0,0,0,0
1937,1.44671,0.94238,1.44435,0.4393,-0.39946,0.77856,0,0,0,0,0
1938,1.64538,1.08559,1.48886,0.47496,-0.22972,1.80169,0,0,0,0,0
1939,1.51306,0.74998,1.2866,0.35328,-0.636,1.18164,0.15882,0,0,0,0
1940,1.68221,0.95213,1.24,0.30549,-0.75412,0.80747,0,0,0,0,0
1941,1.80182,0.71814,1.26541,0.47643,-0.67912,0.95508,0.24523,0,0,0,0
1942,1.41493,0.77282,1.21328,0.37236,-0.45815,1.32387,0.21374,0,0,0,0
1943,1.63856,0.87137,1.54134,0.87515,-0.60103,0,0,0,0,0,0
1944,1.42371,0.70385,1.11505,0.44324,-0.44522,1.35392,0,0,0,0,0
1945,1.40225,0.66775,1.28292,0.47898,-0.49534,1.3785,0,0,0,0,0
1946,1.60169,0.77856,1.31767,0.41797,-0.4544,1.26619,0,0,0,0,0
1947,1.93902,1.15583,1.90501,0.58009,-0.0283,0,0,0,0,0,0
1948,1.82558,0.86607,1.24099,0.71091,-0.43266,1.34256,0.59832,0,0,0,0
1949,1.51502,0.89972,1.30319,0.80021,-0.54243,0,0,0,0,0,0
1950,1.42278,0.72059,1.41233,0.70407,-0.55145,0.8858,0,0,0,0,0
1951,1.54691,0.53872,1.14896,0.45441,-0.21927,1.3832,-2.36332E-5,0,0,0,0
1952,1.74024,0.6718,1.20677,0.4792,-0.51381,1.27303,0,0,0,0,0
1953,1.91951,0.77486,1.73112,0.61555,-0.28159,1.80888,0,0,0,0,0
1954,1.9048,0.90324,1.1729,0.31476,-0.46842,1.24807,0,0,0,0,0
1955,1.97939,0.91903,1.08718,0.39221,-0.67097,1.47358,0,0,0,0,0
1956,1.56177,0.67292,1.25531,0.57425,-0.49114,0,0,0,0,0,0
1957,1.50622,0.77383,1.16123,0.59687,-0.55443,1.96402,0,0,0,0,0
1958,1.70298,0.61739,1.41906,0.31702,-0.41829,0,0,0,0,0,0
1959,1.51438,0.79175,1.25958,0.45444,-0.57239,1.64304,0,0,0,0,0
1960,1.67789,0.77446,0.92327,0.41168,-0.52202,1.40667,0,0,0,0,0
1961,1.74737,0.89832,1.6119,0.94862,-0.4842,1.60896,0.65946,0,0,0,0
1962,2.22529,1.09895,1.43065,0.80683,-0.84319,0,0,0,0,0,0
1963,1.32245,0.52524,1.51474,0.20351,-0.53973,1.58497,0,0,0,0,0
1964,1.32409,0.98974,1.24353,0.41564,-1.46939,0,0,0,0,0,0
1965,1.55538,0.65313,1.17888,0.34757,-0.62346,0.8858,0,0,0,0,0
1966,1.47966,0.92908,1.2297,0.27421,-0.44539,0,0,0,0,0,0
1967,1.68047,1.00736,1.21423,0.60412,-0.6515,1.24247,0,0,0,0,0
1968,1.42901,0.75058,1.30426,0.42639,-0.57041,1.41607,9.98127E-3,0,0,0,0
1969,1.60318,0.8182,1.21752,0.55523,-0.73664,1.21863,0.16122,0,0,0,0
1970,1.74732,0.91591,1.12919,0.51238,-0.77767,1.25741,0.3466,0,0,0,0
1971,1.44657,0.56211,1.09786,0.37043,-0.61307,1.24148,-0.1203,0,0,0,0
1972,1.32289,0.43226,1.03929,0.43312,-0.79402,1.43501,-0.33999,0,0,0,0
1973,1.25927,0.43774,0.9355,0.03108,-0.86881,1.0313,-0.85156,0,0,0,0
1974,1.69735,0.82868,1.1837,0.29322,-0.36676,0,0,0,0,0,0
1975,1.70309,0.77491,1.28681,0.77117,-0.60011,1.4649,0,0,0,0,0
1976,1.43728,0.56393,1.10411,0.39081,-0.71458,1.22945,-0.04611,0,0,0,0
1977,1.28142,0.78583,1.28108,0.35171,-0.53583,1.3634,0.05851,0,0,0,0
1978,1.50184,0.80585,1.16169,0.51168,-0.55406,1.88361,0,0,0,0,0
1979,1.54637,0.66404,1.27892,0.621,-0.5712,2.16485,0,0,0,0,0
1980,1.63257,0.61698,1.57329,0.65895,-0.75176,0,0,0,0,0,0
1981,1.03046,0.72405,1.18051,0.47921,-0.91102,1.84979,0,0,0,0,0
1982,1.37895,0.81985,0.94765,0.62569,-0.54917,0,0,0,0,0,0
1983,2.13611,1.03082,1.33547,0.40607,-0.6262,1.54127,0.66053,0,0,0,0
1984,1.42263,0.71957,1.01623,0.32709,-0.61049,1.39269,-0.2448,0,0,0,0
1985,1.08252,0.64513,0.94449,0.36603,-0.88522,1.20501,-0.81368,0,0,0,0
1986,1.37472,0.61936,1.32193,0.2432,-0.85048,1.27668,0.20636,0,0,0,0
1987,1.55163,0.6774,1.17814,0.3122,-0.93349,1.36765,7.02656E-3,0,0,0,0
1988,1.45362,0.69053,1.33986,0.58534,-0.51446,1.75476,0.63701,0,0,0,0
1989,1.83867,1.02151,1.22703,1.02859,-0.2732,-0.36276,0,0,0,0,0
1990,2.02924,1.3447,1.66484,1.10632,-0.02797,0,0,0,0,0,0
1991,1.50551,1.48892,0.40191,0.39949,-0.35939,2.02915,0,0,0,0,0
1992,1.33665,0.58134,1.29119,0.60797,-0.60989,0.33039,0,0,0,0,0
1993,1.15846,0.5609,0.97725,0.51626,-0.70177,0,0,0,0,0,0
1994,1.23156,0.55007,1.01341,0.36157,-0.65628,1.31149,0.04927,0,0,0,0
1995,0.99516,0.46589,0.93144,0.26791,-0.93724,1.26177,-0.52258,0,0,0,0
1996,1.32397,0.6518,1.35259,0.34466,-0.64456,2.00916,0.32284,0,0,0,0
1997,1.44811,0.8123,1.04727,0.58261,-0.58422,1.38866,0,0,0,0,0
1998,1.77382,0.85471,0.99673,0.42925,-0.81353,1.50645,0.3051,0,0,0,0
1999,1.08658,1.0862,1.10803,0.29009,-0.82774,0,0,0,0,0,0
2000,1.37675,0.66522,1.05702,0.39319,-0.73928,1.58958,0.05336,0,0,0,0
2001,1.51925,0.89888,1.32437,0.49322,-0.60782,1.81338,0.27227,0,0,0,0
2002,1.13985,0.77979,1.18282,0.64129,-0.59931,0,0,0,0,0,0
2003,1.33833,0.63486,0.97355,0.38955,-0.85298,0.33039,0,0,0,0,0
2004,1.40109,0.68819,1.18215,0.55639,-0.36807,2.55181,0,0,0,0,0
2005,1.0473,0.57835,1.06845,0.35173,-0.64685,1.50001,-0.04826,0,0,0,0
2006,1.37786,0.42571,0.99669,0.63718,-0.58546,1.5507,-0.47449,0,0,0,0
2007,1.32921,0.71767,1.49011,0.36809,-0.46315,1.80209,0,0,0,0,0
2008,1.10458,0.28944,1.07219,0.41611,-0.90127,1.55191,-0.4072,0,0,0,0
2009,0.82809,0.93765,1.13971,0.6546,-0.379,1.42969,0,0,0,0,0
2010,1.30375,0.52709,1.04077,0.43639,-0.79555,1.47371,0.23941,0,0,0,0
