TAZ,STATE,COUNTY,DMA,STL_Zone,region,CBM_Ext
8262,Florida,Escambia,1,41,1_Northwest,11502
8498,Florida,Washington,1,163,1_Northwest,11525
8574,Florida,Gadsden,2,46,2_North Central,11528
8570,Florida,Gadsden,2,47,2_North Central,11538
7792,Florida,Madison,2,208,2_North Central,11547
8264,Florida,Escambia,1,41,1_Northwest,11502
7742,Florida,Calhoun,1,19,1_Northwest,11530
8060,Florida,Nassau,3,109,3_Northeast,11559
8261,Florida,Escambia,1,41,1_Northwest,11502
8581,Florida,Gadsden,2,46,2_North Central,11528
8053,Florida,Nassau,3,109,3_Northeast,11559
7748,Florida,Calhoun,1,19,1_Northwest,11530
8585,Florida,Gadsden,2,46,2_North Central,11528
8583,Florida,Gadsden,2,47,2_North Central,11538
8586,Florida,Gadsden,2,47,2_North Central,11538
7797,Florida,Madison,2,208,2_North Central,11544
7722,Florida,Jefferson,2,207,2_North Central,11542
7721,Florida,Jefferson,2,207,2_North Central,11542
8059,Florida,Nassau,3,109,3_Northeast,11559
8576,Florida,Gadsden,2,46,2_North Central,11528
8266,Florida,Escambia,1,41,1_Northwest,11502
8064,Florida,Nassau,3,109,3_Northeast,11559
7747,Florida,Calhoun,1,19,1_Northwest,11530
8580,Florida,Gadsden,2,47,2_North Central,11538
8044,Florida,Nassau,3,110,3_Northeast,11557
8588,Florida,Gadsden,2,46,2_North Central,11528
8260,Florida,Escambia,1,40,1_Northwest,11503
7796,Florida,Madison,2,208,2_North Central,11544
7745,Florida,Calhoun,1,18,1_Northwest,11530
8582,Florida,Gadsden,2,46,2_North Central,11528
8265,Florida,Escambia,1,40,1_Northwest,11502
8065,Florida,Nassau,3,109,3_Northeast,11559
7791,Florida,Madison,2,208,2_North Central,11544
8587,Florida,Gadsden,2,46,2_North Central,11528
8267,Florida,Escambia,1,41,1_Northwest,11502
8451,Florida,Santa Rosa,1,138,1_Northwest,11511
8066,Florida,Nassau,3,109,3_Northeast,11559
7723,Florida,Jefferson,2,207,2_North Central,11544
8578,Florida,Gadsden,2,46,2_North Central,11528
8387,Florida,Okaloosa,1,114,1_Northwest,11515
8270,Florida,Escambia,1,41,1_Northwest,11505
8268,Florida,Escambia,1,41,1_Northwest,11505
8589,Florida,Gadsden,2,47,2_North Central,11538
8272,Florida,Escambia,1,41,1_Northwest,11505
8269,Florida,Escambia,1,40,1_Northwest,11505
8584,Florida,Gadsden,2,47,2_North Central,11528
8063,Florida,Nassau,3,110,3_Northeast,11558
8274,Florida,Escambia,1,40,1_Northwest,11505
8275,Florida,Escambia,1,40,1_Northwest,11502
8271,Florida,Escambia,1,41,1_Northwest,11502
8263,Florida,Escambia,1,40,1_Northwest,11503
8098,Florida,Walton,1,161,1_Northwest,11520
8449,Florida,Santa Rosa,1,138,1_Northwest,11511
8590,Florida,Gadsden,2,46,2_North Central,11534
